ground_truth_id,order_id,expected_scenario,expected_outcome,expected_resolution_class,expected_root_cause,expected_human_escalation,expected_ai_investigation,expected_confidence_band,expected_financial_impact,linked_payment_ids,linked_settlement_ids,notes
GT-000001,ORD-000001,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000001","SET-000001","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000002,ORD-000002,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000002","SET-000002","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000003,ORD-000003,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000003","SET-000003","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000004,ORD-000004,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000004","SET-000004","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000005,ORD-000005,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000005","SET-000005","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000006,ORD-000006,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000006","SET-000006","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000007,ORD-000007,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000007","SET-000007","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000008,ORD-000008,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000008","SET-000008","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000009,ORD-000009,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000009","SET-000009","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000010,ORD-000010,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000010","SET-000010","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000011,ORD-000011,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000011","SET-000011","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000012,ORD-000012,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000012","SET-000012","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000013,ORD-000013,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000013","SET-000013","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000014,ORD-000014,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000014","SET-000014","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000015,ORD-000015,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000015","SET-000015","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000016,ORD-000016,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000016","SET-000016","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000017,ORD-000017,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000017","SET-000017","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000018,ORD-000018,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000018","SET-000018","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000019,ORD-000019,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000019","SET-000019","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
